Ad Title,Brand,Platform,Date of Release,View Count,Celebrity Featured,Ad Copy / Script,Ad Link,Source
Coop Werbespot 2013,Coop,Instagram,2021-03-30,4118603,Roger Federer,UBS – Vermögen weitsichtig gestalten.,http://gfeller.com/,YouTube Leaderboard
Coop Werbespot 2016,Coop,TikTok,2024-12-08,1468591,,Mit Swatch immer im Takt bleiben.,http://bader.com/,Statista CH
Migros Werbespot 1985,Migros,YouTube,2024-08-06,3678136,Roger Federer,UBS – Vermögen weitsichtig gestalten.,http://www.stalder.biz/,Horizont.ch
Galaxus Werbespot 1985,Galaxus,TikTok,2024-02-13,3345942,Roger Federer,Ricola – Wer hat’s erfunden?,https://www.stutz.com/,Statista CH
SBB Werbespot 1988,SBB,TikTok,2021-08-15,4677265,Stress,Frisch ab Hof – jetzt bei Migros.,http://bolliger.com/,YouTube Leaderboard
Nestlé Werbespot 1994,Nestlé,Instagram,2023-03-23,2618513,Anna Rossinelli,UBS – Vermögen weitsichtig gestalten.,https://www.maurer.biz/,SRF
Coop Werbespot 1975,Coop,TV,2024-12-29,1632631,Lara Gut-Behrami,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,https://frey.com/,SRF
Galaxus Werbespot 2014,Galaxus,YouTube,2022-03-28,7717870,Bastian Baker,Ricola – Wer hat’s erfunden?,https://www.braun.com/,Meta Ads Library
Nestlé Werbespot 2000,Nestlé,TikTok,2023-05-27,4928715,Lara Gut-Behrami,Mit Swatch immer im Takt bleiben.,http://furrer-steiner.com/,SRF
Galaxus Werbespot 2017,Galaxus,YouTube,2020-11-26,778805,Stéphane Lambiel,UBS – Vermögen weitsichtig gestalten.,http://www.mayer.com/,SRF
Coop Werbespot 2013,Coop,YouTube,2025-01-13,6387459,Stéphane Lambiel,"Nestlé – Qualität, der man vertraut.",http://giger.com/,Statista CH
UBS Werbespot 1997,UBS,Instagram,2022-07-29,5970453,Michelle Hunziker,UBS – Vermögen weitsichtig gestalten.,http://www.tobler.info/,SRF
Coop Werbespot 1996,Coop,Facebook,2024-03-14,8971380,,UBS – Vermögen weitsichtig gestalten.,http://gut.net/,YouTube Leaderboard
Emmi Werbespot 2006,Emmi,Instagram,2022-07-14,3694531,Viola Tami,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,https://gerber-eichenberger.net/,Meta Ads Library
SBB Werbespot 2003,SBB,Instagram,2021-01-26,6740428,Roger Federer,"Nestlé – Qualität, der man vertraut.",http://www.senn.biz/,Meta Ads Library
SBB Werbespot 2010,SBB,Instagram,2020-11-02,3577281,,Galaxus – Fast alles für fast jeden.,https://meier.net/,Statista CH
Emmi Werbespot 1970,Emmi,Instagram,2021-04-09,2352608,Michelle Hunziker,UBS – Vermögen weitsichtig gestalten.,https://hofer.com/,Horizont.ch
Swatch Werbespot 2000,Swatch,TikTok,2020-04-29,7197926,Bastian Baker,Mit Swatch immer im Takt bleiben.,https://www.brunner.net/,Statista CH
UBS Werbespot 2011,UBS,Facebook,2021-12-27,8558432,Stéphane Lambiel,Galaxus – Fast alles für fast jeden.,http://ruegg.com/,Meta Ads Library
Migros Werbespot 2010,Migros,Facebook,2023-01-21,2694052,Lara Gut-Behrami,Emmi – So schmeckt die Schweiz.,https://www.kalin.com/,Horizont.ch
Coop Werbespot 1973,Coop,TV,2022-05-07,7862574,Viola Tami,Ricola – Wer hat’s erfunden?,http://www.meyer.net/,SRF
Swatch Werbespot 2022,Swatch,YouTube,2021-05-14,4486583,Roger Federer,SBB – Sicher unterwegs. Pünktlich. Nachhaltig.,http://felber.org/,Meta Ads Library
Ricola Werbespot 1998,Ricola,Facebook,2022-02-06,7622220,Viola Tami,Frisch ab Hof – jetzt bei Migros.,http://steiner-stalder.com/,SRF
Swatch Werbespot 1999,Swatch,TikTok,2024-09-13,1795277,Michelle Hunziker,"Nestlé – Qualität, der man vertraut.",https://www.gfeller.com/,Horizont.ch
Galaxus Werbespot 1971,Galaxus,Facebook,2025-01-03,6283233,Stéphane Lambiel,Swisscom – Die Zukunft ist jetzt.,http://www.betschart.com/,Horizont.ch
Swatch Werbespot 1985,Swatch,TikTok,2020-11-14,5448436,Roger Federer,Galaxus – Fast alles für fast jeden.,http://pfister.com/,Meta Ads Library
Coop Werbespot 2015,Coop,Instagram,2024-06-05,4027343,Anna Rossinelli,Frisch ab Hof – jetzt bei Migros.,http://www.scherrer.com/,YouTube Leaderboard
Galaxus Werbespot 2023,Galaxus,YouTube,2024-04-27,8163566,Lara Gut-Behrami,Coop – Für mich und dich.,https://www.bosshard.biz/,Horizont.ch
Swisscom Werbespot 1994,Swisscom,TV,2023-11-26,2780370,Michelle Hunziker,"Nestlé – Qualität, der man vertraut.",https://baur.com/,Horizont.ch
Galaxus Werbespot 1974,Galaxus,Facebook,2023-09-21,3384754,Viola Tami,"Nestlé – Qualität, der man vertraut.",https://www.frey.net/,Statista CH
UBS Werbespot 2000,UBS,TikTok,2021-06-28,7584680,Stress,Coop – Für mich und dich.,https://www.mayer-gut.com/,YouTube Leaderboard
